Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
KING OF THE HILL,,DENIED,Not assisted,1993,7.4,Wildwood Enterprises,1214231,8000000,KING OF THE HILL_1993,AGREEMENT LEASING THIS FEDERAL PROPERTY TO THE STATE PROHIBITS COMMERCIAL USE. PRODUCTION COMPANY REQUEST USE OF JEFFERSON BARRACKS (AIR NATIONAL GUARD SITE) FOR ABOUT SIX HOURS TO DEPICT A 1939'S TUBERCULOSIS SANITARIUM EXTERIOR.,
MATINEE,,APPROVED,Assisted,1993,6.9,Universal Pictures,9532895,13000000,MATINEE_1993,"AUTHORIZED FILMING WITH FLORIDA NATIONAL GUARD TO SET UP A HAWK MISSILE BATTERY (ACTUALLY DONE DURING THE CUBAN MISSILE CRISIS), AUTHORIZED FILMING NAVY HELICOPTER FLYING OVERHEAD, AUTHORIZED FILMING AT NAS KEY WEST. POSITIVE DEPICTION OF NAVY FAMILY, THOUGH NOT MUCH OF A MILITARY PRESENCE OTHERWISE",
DAVE,,APPROVED,Assisted,1993,6.8,Warner Bros.,63270710,28000000,DAVE_1993,ESSENTIALLY NON-MILITARY PICTURE. MARINE HONOR GUARD SERVED AS OFF-DUTY EXTRAS TO REENACT A PRESIDENTIAL ARRIVAL SCENE AT THE WHITE HOUSE. COURTESY ASSISTANCE. ALLOWED EXTERIOR FILMING AT NAVAL HOSPITAL BETHESDA FOR MINOR SCENE AT THE END OF THE FILM.,
IN THE ARMY NOW,,APPROVED,Assisted,1994,5,Hollywood Pictures,28881266,0,IN THE ARMY NOW_1994,"PAULY SHORE COMEDY IN WHICH HE BECOMES AN ARMY RESERVE WATER PURIFICATION SPECIALIST & WINDS UP BEING RECALLED TO ACTIVE DUTY. COMPANY REQUESTED USE OF ARMY RESERVE SITE, HELICOPTERS, VEHICLES, EXTRAS, FOR PRODUCTION.",
STEALTH,,DENIED,Not assisted,,,,,,STEALTH_,"THE FILM WAS INACCURATE AND DAMAGING IN ITS PORTRAYAL OF AIR FORCE LIFE, OPERATIONS, AND POLICIES THE FILM ALSO HAD TOO MANY ERRORS TO CORRECT WITHOUT LOSING THE BASIC PREMISE. NO RECORD OF FILM BEING MADE",
CLEAR AND PRESENT DANGER,,APPROVED,Assisted,1994,6.9,Mace Neufeld Productions,215887717,62000000,CLEAR AND PRESENT DANGER_1994,"REQUESTED AIRCRAFT, SHIPS, LOCATIONS. AFTER AN EXTENDED PERIOD OF SCRIPT NEGOTIATIONS, APPROVED ASSISTANCE. USE OF AIRCRAFT CARRIER TO LAUNCH ATTACK ON DRUG LORDS",
ADVENTURES OF MARY-KATE & ASHLEY,THE CASE OF THE UNITED STATES NAVY ADVENTURE,APPROVED,Assisted,1994,,,,,ADVENTURES OF MARY-KATE & ASHLEY_1994,"PRODUCTION COMPANY REQUESTED USE OF NAVY INSTALLATIONS AND SHIP IN PEARL HARBOR, HI. AFTER SUCCESSFUL NEGOTIATIONS TO IMPROVE ACCURACY AND POSITIVE ASPECT OF SCRIPT, OK'D ASSISTANCE. NO FILE EXISTS.",
GUARDING TESS,,APPROVED,Assisted,1994,6.2,Channel Films,27058304,20000000,GUARDING TESS_1994,COMPANY DID FILM ARRIVAL SCENE WITH ANG HANGARS AND AIRCRAFT IN BACKGROUND. ADVISED THAT THEY WERE GOING TO USE A NEWLY-RENTED CIVILIAN HELICOPTER ULTIMATELY USED NG HELICOPTER FOR NIGHT EVACUATION SCENE. PAID ALL EXPENSES,
CAMP NOWHERE,,APPROVED,Assisted,1994,6.1,Hollywood Pictures,10475705,0,CAMP NOWHERE_1994,STORY ABOUT KIDS INVENTING A FAKE SUMMER CAMP OF THEIR OWN — COMPANY WANTED SOME MILITARY JETS TO FLY OVER (TARGET OF OPPORTUNITY) FOR A SHOT THAT REINFORCES THE KIDS' PLAN (THE AUDIENCE UNDERSTANDS THAT THE JETS AREN'T REALLY PART OF IT),Y
PUPPET MASTERS,,DENIED,Not assisted,1994,,,,,PUPPET MASTERS_1994,"MARK INDIG PROVIDED SCRIPT TO PHIL STRUB INFORMALLY, TO GET HIS OPINION. SINCE IT INVOLVES SLUG- LIKE ALIENS WHO TRY TO TAKE OVER THE HUMAN RACE (AND VANQUISH A LITTLE ARMY ATTEMPT TO DESTROY THEM), STRUB SAID THAT MILITARY ASSISTANCE WAS NOT GOING TO BE FORTHCOMING. PROVIDED INFO TO INDIG OVER THE PHONE ON MAY 24. NO FILE.",y
"NEXT KARATE KID, THE",,APPROVED,Assisted,1994,,,,,"NEXT KARATE KID, THE_1994",APPROVED FILMING FICTIONAL AWARDS CEREMONY AT FORT MYER & EXTRAS FOR ARRIVAL SCENE AT NATIONAL AIRPORT — POSITIVE DEPICTION OF MILITARY (KEY IF SHORT OPENING SCENE),
"CLIENT, THE",,APPROVED,Assisted,1994,,,,,"CLIENT, THE_1994","COMPANY REQUESTED TO USE NATIONAL GUARD HANGAR AND EXTRAS TO ENACT SCENE IN WHICH ""THE CLIENT"" IS ACCEPTED INTO THE FEDERAL WITNESS PROTECTION PROGRAM UNDER HEAVY FBI/NATIONAL GUARD SECURITY. FBI SAID PORTRAYAL IS REALISTIC. APPROVED SUPPORT",
FORREST GUMP,,DENIED,Not assisted,1994,8.8,Paramount Pictures,678226133,55000000,FORREST GUMP_1994,"REQUESTED ARMY SUPPORT TO REENACT BASIC TRAINING AND VIETNAM COMBAT SCENE. EARLY SCRIPT HAD NIHILISTIC VIEW OF MILITARY & VIETNAM EXPERIENCE. ARMY & WE SAID NO THANKS. LATER SCRIPT MUCH BETTER, WITH INPUT FROM TECH ADVISOR DALE DYE, BUT ARMY STILL NOT INTERESTED IN ASSISTING. DURING THIS PROCESS, DOD & MARINES INDICATED THAT THEY MAY BE WILLING TO SUPPORT, BUT DIRECTOR BOB ZEMECKIS WAS NOT INTERESTED IN CHANGING FROM ARMY. THE FILMMAKERS DID MAKE ONE VERY IMPORTANT CHANGE SUGGESTED BY THE ARMY: ORIGINAL SCRIPT HAD AN ENTIRE COMPANY OF MEN LIKE FORREST AND BUBBA; ARMY POINTED OUT THAT THE ACTUAL PROGRAM DISTRIBUTED SOLDIERS LIKE FORREST AMONG ""NORMAL"" SOLDIERS IN MANY COMPANIES. THE FINAL SCRIPT MADE THIS IMPORTANT CHANGE.",
CHASERS,,DENIED,Not assisted,1994,5.1,Morgan Creek Entertainment,1596687,0,CHASERS_1994,"NATIONAL GUARD ASKED DOD FOR PERMISSION TO PROVIDE A MOTOR POOL AND VEHICLES TO SUBSTITUTE FOR THE NAVY ONE IN THE SCRIPT. WE SAID NO, DID NOT MEET DOD CRITERIA FOR SUPPORT. PRODUCTION COMPANY INFORMALLY SOUGHT NAVY COOPERATION. AFTER INFORMAL NEGOTIATIONS, COMPANY AGREED THAT THE CHANGES WE WANTED WERE TOO MUCH TO ACCOMMODATE. IN MAY; 1993, SOUTH CAROLINA NATIONAL GUARD ASKED DOD FOR PERMISSION TO PROVIDE A MOTOR POOL",
"AMERICAN PRESIDENT, THE",,APPROVED,Assisted,1995,,,,,"AMERICAN PRESIDENT, THE_1995","PRODUCTION COMPANY REQUESTED MARINE MUSICIANS TO PORTRAY MARINE BAND, TECHNICAL ASSISTANCE, EXTRAS, TO ENACT WHITE HOUSE SOCIAL FUNCTIONS AND TO ASSURE THAT OTHER MILITARY PORTRAYALS ARE REASONABLY POSITIVE AND ACCURATE.",
THREE WISHES,,APPROVED,Assisted,1995,6.1,Rysher Entertainment,7027517,10000000,THREE WISHES_1995,"COMPANY REQUESTED USE OF FORT MACARTHUR (USAF) IN LA AREA TO DRESS AS ANDREWS AFB HOSPITAL AS BACKGROUND FOR SCENE IN WHICH SON OF MIA AIR FORCE OFFICER IS BEING TREATED. MILITARY DEPICTION ACCURATE AND POSITIVE, THOUGH FILM HAS LITTLE TO DO WITH MILITARY.",
"PEREZ FAMILY, THE",,APPROVED,Assisted,1995,,,,,"PEREZ FAMILY, THE_1995","LARGELY BACKGROUND BUT IMPORTANT TO STORY. POSITIVE, ACCURATE DEPICTION. NO FILE. REQUESTED USE OF FLORIDA NATIONAL GUARDSMEN TO REENACT THE HUMANITARIAN AID THEY PROVIDED (WITH TENTS, TRUCKS) TO CUBAN REFUGEES DURING THE MARIEL EXODUS. 12 SHOOTING DAYS.",
LE NOUVEAU MONDE,THE NEW WORLD,DENIED,Not assisted,1995,,,,,LE NOUVEAU MONDE_1995,"REQUESTED MILITARY BAND IN EUROPE FOR PERIOD FILM (EARLY '60'S) IN WHICH YOUNG FRENCH PEOPLE ARE INFLUENCED BY JAZZ-PLAYING US SOLDIERS. UNFORTUNATELY, SOME SOLDIERS ARE SMOKING MARIJUANA, SOME ARE VERY HEAVY DRINKERS, AND NONE ARE PARTICULARLY POSITIVE. NO FILE.",Y
"NET, THE",,LIMITED,Assisted,1995,,,,,"NET, THE_1995","COMPANY REQUESTED ONE DAY FILMING AT MISSILE LAUNCH FACILITY AT VANDENBERG AFB. PICTURE ESSENTIALLY NON-MILITARY, BUT THE SCENE IS INNOCUOUS AND OFFERS A BRIEF REMINDER THAT THE AIR FORCE IS IN THE MISSILE LAUNCH BUSINESS. FILMING COMPLETED OK. NO FILE",
GOLDENEYE,,APPROVED,Assisted,1995,7.2,Eon Productions,352194034,60000000,GOLDENEYE_1995,"APPROVED REQUEST FOR MARINES AND NATIONAL GUARD HELICOPTERS TO COME TO THE BELATED RESCUE OF JAMES BOND AT CONCLUSION OF THIS FILM. NO FILE. REASONABLY REALISTIC & POSITIVE, IF BRIEF. FILMED SUCCESSFULLY IN PUERTO RICO FOR TWO DAYS.",y
OUTBREAK,,DENIED,Not assisted,1995,6.6,Warner Bros.,189859560,50000000,OUTBREAK_1995,"PRODUCTION COMPANY REQUEST CONSIDERABLE MILITARY ASSISTANCE, INCLUDING AIRCRAFT AND VEHICLES. HOWEVER, FUNDAMENTAL NEGATIVE PORTRAYALS ABOUNDED. COMPANY WAS ULTIMATELY UNWILLING TO MAKE KEY CHANGES AND WITHDREW REQUEST. NO DOD FILE",
TANK GIRL,,DENIED,Not assisted,1995,5.4,Image Comics,4064495,25000000,TANK GIRL_1995,"REQUESTED USE OF MISSILE SILO FOR NONMILITARY ""MAD MAX"" TYPE OF STORY — DID NOT MEET DOD CRITERIA FDR SUPPORT, NO FILE",
CRIMSON TIDE,,APPROVED,Assisted,1995,7.3,Hollywood Pictures,157387195,53000000,CRIMSON TIDE_1995,FILMMAKERS ADVISED SAAV (OVER TELEPHONE) THAT THEY WERE NOT INCLINED TO REDUCE ARM ED MUTINY TO WAR OF WORDS/CONTEST OF WILLS. NEITHER PRODUCER JERRY BRUCKHEIMER NOR DIRECTOR TONY SCOTT EVER ENTERED INTO ACTUAL NEGOTIATIONS — NAVY PROBABLY OPPOSED TO ANY KIND OF MUTINY (PARTICULARLY AN ARMED MUTINY). SAAV FAXED AUTHORIZATION FOR STOCK FOOTAGE TO MMRC (IN LIEU OF FOIA REQUEST).,X
APOLLO 13,AKA LOST MOON,APPROVED,Assisted,1995,7.6,Universal Pictures,355237933,52000000,APOLLO 13_1995,"REQUESTED USE OF NAVY SHIP, ETC, TO REENACT CAPSULE RECOVERY AT END OF MISSION. ENTIRELY ACCURATE AND POSITIVE DEPICTIONS ALL AROUND.",
MAJOR PAYNE,,DENIED,Not assisted,1995,6.3,Universal Pictures,30112050,0,MAJOR PAYNE_1995,ANOTHER WARRIOR OUT OF BATTLE STORY. PATTON-LIKE MARINE WHO HAS NOTHING TO DO IN PEACETIME. TAKES OVER SCHOOL AND BECOMES HUMANIZED,
DOWN PERISCOPE,,DENIED,Not assisted,1996,6.2,Twentieth Century Fox,37553752,31000000,DOWN PERISCOPE_1996,"INFORMALLY PROVIDED SCRIPT FOR COMMENT & FEEDBACK. ADVISED LINE PRODUCER THAT SUPPORT WAS HOPELESS, GIVEN NEGATIVISM AND INACCURACIES AND THE FACT THAT THE FILM WAS BEING RUSHED INTO PRODUCTION, SO THE COMPANY WAS UNABLE TO MAKE HUGE CHANGES. DOD APPROVED OF THE NAVY WORKING WITH THE MARITIME ADMINISTRATION TO USE A MOTHBALLED SUBMARINE, WHICH WAS TOWED IN FRONT OF THE CAMERAS.",
SGT BILKO,,DENIED,Not assisted,1996,,,,,SGT BILKO_1996,"NEVER RECEIVED FORMAL REQUEST. BUT SAAV PERSONALLY TOLD IMAGINE ENTERTAINMENT CO-OWNER BRIAN GLAZER ""HOPELESS"", AND OCPA-LA TOLD UNIVERSAL EXECUTIVE ANDY GIVEN AND IMAGINE ENTERTAINMENT EXECUTIVE THAT IT IS HOPELESS. COMPLETELY NEGATIVE, INACCURATE. IMPOSSIBLE TO ALTER BY ANY MEANS OTHER THAN TOTAL REWRITE AND COMPLETELY NEW FILM.",Y
LARGER THAN LIFE,ELEPHANT MAN II,APPROVED,Assisted,1996,5.6,United Artists Pictures,8315693,30000000,LARGER THAN LIFE_1996,APPROVED USE OF C-5 AIRCRAFT (NON-FLYING) ON THE GROUND AT SO CAL AIRPORT FOR SCENE IN WHICH THE USAF IS HELPING RELOCATE ELEPHANTS TO SRI LANKA FOR AN ANIMAL CONSERVATION PROJECT. REASONABLY ACCURATE & VERY POSITIVE. NO FILE.,
FLY AWAY HOME,AKA FATHER GOOSE,APPROVED,Assisted,1996,6.8,Columbia Pictures,25143818,22000000,FLY AWAY HOME_1996,"ESSENTIALLY A NON-MILITARY, FAMILY TYPE PICTURE ABOUT A MAN AND HIS DAUGHTER REUNITED WHILE HELPING SOME ORPHAN GEESE TO MIGRATE TO SAFETY FROM CANADA. BRIEF BUT REASONABLY POSITIVE AND ACCURATE SEQUENCE HAS GEESE PLUS ULTRALIGHTS EMERGENCY LAND AT AIR FORCE BASE. AFTER INITIAL SURPRISE, AIR FORCE FEEDS GEESE, REFUELS ULTRA-LIGHTS, AND THE FILM GOES ON. APPROVED FILMING WITH NATIONAL GUARD AND USAF AIRCRAFT STATIONARY AND IN FLIGHT OPERATIONS IN MY STATE (AIR NATL GUARD BASE) FOR SEVERAL DAYS.",y
INDEPENDENCE DAY,,DENIED,Not assisted,1996,7,Twentieth Century Fox,817400891,75000000,INDEPENDENCE DAY_1996,"NO COOPERATION DUE TO IMPLAUSIBLE PORTRAYAL OF MILITARY AND STORY CENTERED ON ALIENS ATTACKING FROM SPACE AND ANEMIC US MILITARY RESPONSE. ON OR ABOUT 1995, BECAME OBVIOUS THAT THE COMPANY WAS GOING TO GO ITS OWN WAY AND MAKE PICTURE WITHOUT US. NO FORMAL LETTER FROM DOD.",X
THE UNDERCOVER KID,HOW I SAVED THE PRESIDENT,LIMITED,Assisted,1996,,,,,THE UNDERCOVER KID_1996,"REQUESTED USE OF ARMY PARKING LOT FOR BACKGROUND OF SHOT — ARMY NEGOTIATED INCLUSION OF SPECIAL OPS URBAN WARFARE TRAINING SCENE, JUSTIFYING USE OF (ARMED FORCES RESERVE CENTER) PARKING LOT AND MILITARY VEHICLES.",
"TIME TO KILL, A",,APPROVED,Assisted,1996,,,,,"TIME TO KILL, A_1996",APPROVED USE OF MISSISSIPPI NATIONAL GUARD FOR A FEW DAYS TO ENACT RIOT-PREVENTION EFFORTS IN SMALL SOUTHERN TOWN (FICTIONAL DRAMA),
COURAGE UNDER FIRE,,DENIED,Not assisted,1996,6.6,Fox 2000 Pictures,100860818,46000000,COURAGE UNDER FIRE_1996,"PRODUCTION COMPANY REQUESTED USE OF ARMORED VEHICLES (TANKS, BRADLEYS) AIRCRAFT, INSTALLATIONS, ETC, BUT TOO MANY SCRIPT CONCERNS REMAINED UNRESOLVED (MUTINY, COVER-UP, ETC). GAVE COURTESY, INFORMATIONAL ASSISTANCE ONLY. DID CONCUR WITH ARMY SETTING UP OVERNIGHT VISIT TO FORT IRWIN FOR ACTOR DENZEL WASHINGTON, WHICH RESULTED IN HIM MAKING FAVORABLE COMMENTS DURING PUBLICITY INTERVIEWS PROMOTING THE FILM.",Y
EXECUTIVE DECISION,,APPROVED,Assisted,1996,6.4,Warner Bros.,121969216,55000000,EXECUTIVE DECISION_1996,"APPROVED REQUEST TO USE NAVY SHIPS, AIRCRAFT, PLUS ARMY HELICOPTER AND INSTALLATION. FOLLOWING BRIEF PERIOD OF SCRIPT NEGOTIATIONS (CONSIDERING THAT WE HAD GONE THROUGH THIS BEFORE WITH PREVIOUS INCARNATION OF PROJECT), GAVE APPROVAL. MILITARY DEPICTIONS REASONABLY ACCURATE AND POSITIVE. PRIMARILY AN ARMY PRODUCTION.",
CRASH DIVE,,OTHER,Not assisted,1996,,,,,CRASH DIVE_1996,"DID NOT REQUEST ASSISTANCE, DATE APPROXIMATE, NO FILE STORY OF US NAVAL OFFICER DETAILED TO A RUSSIAN SUBMARINE IN POST-COLD WAR ERA. FINDS TERRORISTS IN CONTROL OF SUB WHO WANT TO FIRE MISSILES. US OFFICER SAVES THE DAY.",
LONE STAR,,DENIED,Not assisted,1996,7.4,Columbia Pictures,12408986,5000000,LONE STAR_1996,"ARMY OFFICE IN LA PROVIDED MUCH INFORMATION TO FILMMAKERS IN PRE PRODUCTION. COMPANY WANTED TO SHOOT ON MILITARY BASE, BUT REFUSED TO SIGN AGREEMENT TO ALLOW ARMY PROJECT ADVISOR TO WATCH FILMING AND OFFER SUGGESTIONS FOR TECHNICAL CORRECTIONS. SO DID NOT RECEIVE COOPERATION, ARMY PA OFFICER DID CONSIDER HE HAD PROVIDED COURTESY ASSISTANCE",
THE ROCK,,OTHER,Not assisted,1996,7.4,Hollywood Pictures,335062621,75000000,THE ROCK_1996,"JERRY BRUCKHEIMER AND MICHAEL BAY PROBABLY KNEW THEY COULD NOT OBTAIN ASSISTANCE FOR A SCRIPT WHICH SHOWS A RETIRED MARINE GENERAL THREATENING TO DESTROY SAN FRANCISCO WITH A ROCKET LAUNCHED FROM ALCATRAZ. FULL OF HOLES. AS WITH TWILIGHT'S LAST GLEAMING, ABSURD TO THINK A GENERAL WOULD PUT HIMSELF IN A POSITION WITH NO WAY OUT. ABSURD, BUT SOMETIMES EXCITING.",Y
THE INNOCENT,,LIMITED,Assisted,1996,,,,,THE INNOCENT_1996,"APPROVED USE OF EXTERIOR OF TEMPELHOF AIRPORT IN BERLIN (AIR FORCE CONTROLLED) TO SERVE AS A PERIOD BACKGROUND FOR FILM, BASED ON USIA/AMERICAN EMBASSY BONN REQUEST 91 THE FACT THAT THE FACILITY WOULD SOON BE TURNED OVER TO THE GERMAN GOVT — COURTESY ASSISTANCE. NOT RELEASED IN US UNTIL 1999",
CONTACT,,APPROVED,Assisted,1997,7.5,Warner Bros.,171120329,90000000,CONTACT_1997,"ORIGINALLY A FAIR AMOUNT OF SILLY MILITARY DEPICTION. NEGOTIATED CIVILIANIZATION OF ALMOST ALL MILITARY PARTS. MINIMAL MILITARY DEPICTION, BUT POSITIVE (BENIGN). ALLOWED USE OF VEHICLES & HELICOPTERS FOR NATIONAL GUARD SEQUENCE. NO FILE",
MAD BEAR ANDERSON,,DENIED,Not assisted,,,,,,MAD BEAR ANDERSON_,"THE ARMY DENIED THE FILM, CITING INACCURATE PORTRAYAL OF ARMY AND IT HAD NO INFORMATIONAL VALUE. NO RECORD OF FILM BEING MADE",
WILD AMERICA,,APPROVED,Assisted,1997,6.4,Morgan Creek Entertainment,7342923,0,WILD AMERICA_1997,"ESSENTIALLY A NON-MILITARY PICTURE, WITH A BRIEF SCENE TAKING PLACE AT AN ARMY HOSPITAL — MINIMAL, BUT REASONABLY ACCURATE & POSITIVE",
TOMORROW NEVER DIES,,APPROVED,Assisted,1997,6.5,Eon Productions,333011068,110000000,TOMORROW NEVER DIES_1997,"PRODUCTION COMPANY MADE A FEW TECHNICAL CHANGES AND WE APPROVED ASSISTING JAMES BOND IN MAKING A HALO JUMP FROM ONE OF ""OUR"" RAF BASES IN ENGLAND.",
"JACKAL, THE",FORMERLY THE DAY OF THE JACKAL,APPROVED,Assisted,1997,,,,,"JACKAL, THE_1997",APPROVED USE OF AIRCRAFT AND FILMING LOCATIONS AFTER PRODUCTION COMPANY CHANGED FBI SNIPER TO MARINE SNIPER AND INCREASED SCOPE OF MARINE DEPICTIONS. PRODUCTION COMPANY USED MARINE CH-53 FOR FAST-ROPING SEQUENCE — FILM PRINCIPALLY DEPICTS FBI IN A POSITIVE LIGHT.,
G.I. JANE,,DENIED,Not assisted,1997,6,Caravan Pictures,48169156,50000000,G.I. JANE_1997,"THE COMPANY APPARENTLY BELIEVED IT DIDN'T REQUIRE ASSISTANCE, AND CAME LATE TO THE NEGOTIATING TABLE. CONSIDERABLE MEDIA ATTENTION RESULTED WHEN STAR DEMI MOORE PHONED THE WHITE HOUSE APPARENTLY IN AN ATTEMPT TO PERSUADE THE NAVY TO COOPERATE. THOUGH NOTHING CAME OF THE PHONE CALL, THE MEDIA PORTRAYED THE PROBLEM AS CENTERED ON THE ISSUE OF A FEMALE SEAL. THIS WAS INACCURATE. THE DIRECTOR HIMSELF SUGGESTED THAT SHE BE IN AN EXPERIMENTAL PROGRAM IN WHICH SHE DID SEAL-LIKE TRAINING. HOWEVER, NEGOTIATIONS BROKE DOWN OVER MANY SMALLER ISSUES, PRINCIPALLY DUE TO LACK OF TIME AND SOME NAVY OVER-ATTENTION TO THESE SMALLER ISSUES.",y
THE AGGRESSOR SQUADRON,,DENIED,Not assisted,,,,,,THE AGGRESSOR SQUADRON_,THE FILM DID NOT PRESENT AN ACCURATE OR FEASIBLE PORTRAYAL OF THE AIR FORCE. ASSISTANCE TO THE FILM WAS DENIED.,
BATMAN AND ROBIN,,LIMITED,Assisted,1997,,,,,BATMAN AND ROBIN_1997,ARMY ALLOWED USE OF WIND TUNNEL AT FORT BRAGG FOR BRIFF SEQUENCE,
COLONEL JAMES ROWE STORY,,LIMITED,Assisted,,,,,,COLONEL JAMES ROWE STORY_,THE DEPARTMENT OF THE ARMY APPROVED FOR BACKGROUND ASSISTANCE ONLY. NO RECORD THAT FILM WAS MADE,
DAY BEFORE MIDNIGHT,,DENIED,Not assisted,,,,,,DAY BEFORE MIDNIGHT_,"THE DEPARTMENTS OF THE ARMY, AIR FORCE, ANG, AND NGB DENIED ASSISTANCE TO THE FILM. THEY FELT THAT THE FILM HAD TOO MANY INACCURACIES. AS OF JAN 2001, THE FILM HASN'T BEEN PRODUCED",
AIR FORCE ONE,,APPROVED,Assisted,1997,6.5,Columbia Pictures,315156409,85000000,AIR FORCE ONE_1997,AIR FORCE PROVIDED FULL COOPERATION FOR FILM IN WHICH RUSSIAN TERRORISTS KIDNAP AIR FORCE ONE AND HOLD THE PRESIDENT HOSTAGE. USE OF FIGHTERS AND TRANSPORTS FOR AMBIANCE,Y
ARMAGEDDON,,APPROVED,Assisted,1998,6.7,Touchstone Pictures,553709788,140000000,ARMAGEDDON_1998,"PRODUCTION COMPANY ACCOMMODATED CONCERNS ABOUT DEPICTION OF JCS, CHAIRMAN & MILITARY ASTRONAUTS. APPROVED USE OF USAF LOCATIONS, HELICOPTER.",
THE GRAND TOUR,,DENIED,Not assisted,,,,,,THE GRAND TOUR_,"ON MAY 2, THE DEPARTMENT SENT A MEMO TO THE PRODUCTION COMPANY DENYING APPROVAL DUE TO FACT THAT IT HAD VERY LITTLE TO DO WITH THE DOD ACTIVITIES. NO RECORD OF FILM BEING MADE.",
STAR TREK: INSURRECTION,,LIMITED,Assisted,1998,6.4,Paramount Pictures,112587658,58000000,STAR TREK: INSURRECTION_1998,"PRODUCTION COMPANY REQUESTED USE OF INACTIVE TITAN MISSILE SILO (WITH MISSILE) UNDER CUSTODY OF PIMA AIR MUSEUM, ARIZONA. OTHER THAN ""USAF"" ON MISSILE, NO MILITARY DEPICTION.",
DEEP IMPACT,,APPROVED,Assisted,1998,6.2,Paramount Pictures,349464664,75000000,DEEP IMPACT_1998,"PRODUCTION COMPANY AGREED TO CHANGES IN SCRIPT; WE AGREED TO PROVIDE ARMY (NATIONAL GUARD) HELICOPTERS, VEHICLES (HUMVEES, TRUCKS) FOR A FEW DAYS OF FILMING IN L.A. AREA",
TRANSFER OF COURAGE,,APPROVED,Assisted,,,,,,TRANSFER OF COURAGE_,AND ALSO PROVIDED TENTAGE AND SANDBAGS THAT WERE NOT COMMERCIALLY AVAILABLE. FILM FOUND DOD AND MARINE CORPS AGREED TO USE OF WAKE ISLAND. WAS REASONABLY ACCURATE IN ITS PORTRAYAL OF EVENTS. DON'T KNOW IF FILM EVER PRODUCED (MONEY PROBLEMS).,
MYSTIC NIGHTS & PIRATE FIGHTS,,,Not assisted,1998,,,,,MYSTIC NIGHTS & PIRATE FIGHTS_1998,PRODUCTION COMPANY REQUESTED PERMISSION TO FILM US. SUBMARINES GETTING UNDERWAY & RETURNING TO PORT (TARGET OF OPPORTUNITY ONLY FOR THIS INNOCUOUS FILM THAT USES A NAVY FAMILY LARGELY AS SETTING). THE COMPANY ALSO ASKED TO FILM AT NAVY SUBMARINE BASE IN CONN.,
EAGLE IN THE SKY,,DENIED,Not assisted,,,,,,EAGLE IN THE SKY_,"THE FILM WAS DENIED BY THE US. NAVY AND DOD, AS COMPLETELY UNREALISTIC — REQUESTOR HAD WANTED USE OF AIRCRAFT FOR FILM IT DEPICTED OF THE NAVY. THE DEPARTMENT DECLINED TO ASSIST. NO RECORD OF FILM BEING MADE",
"THIN RED LINE, THE",,DENIED,Not assisted,1998,,,,,"THIN RED LINE, THE_1998","EARLY ON, PRODUCER MISUNDERSTOOD ARMY'S COMMENTS AND THOUGHT HE HAD RECEIVED APPROVAL. DESPITE MANY ""POLITICAL"" CONTACTS, ARMY REFUSED TO ASSIST DUE TO LACK OF ANY KIND OF BALANCE IN THE SCRIPT. NO EQUIPMENT TO PROVIDE IN ANY CASE",
EAGLE STRIKE,,DENIED,Not assisted,,,,,,EAGLE STRIKE_,THE FILM DID NOT MEET DOD CRITERIA. THE DEPARTMENT DID NOT WANT TO COMPETE WITH THE INDUSTRIES THAT MADE THEM COMMERCIALLY AVAILABLE. NO RECORD FILM WAS EVER MADE,
1ST FORCE,,OTHER,Not assisted,,,,,,1ST FORCE_,"INITIALLY DOD AND USMC WERE INCLINED TO SUPPORT. HOWEVER, PRODUCER NEVER RESPONDED TO REPEATED REQUESTS FOR UPDATES REGARDING THE PRODUCTION. FILM NOT PRODUCED. NO FILE EXISTS.",
BROKEN ARROW,,DENIED,Not assisted,1998,,,,,BROKEN ARROW_1998,RENEGADE AIR FORCE PILOT STEALS TWO NUCLEAR WEAPONS TO SELL TO HIGHEST BIDDER. OBVIOUSLY NO WAY THE AIR FORCE WOULD HELP ON SUCH A PORTRAYAL.,
SAVING PRIVATE RYAN,,OTHER,Not assisted,1998,8.6,Dreamworks Pictures,482349603,70000000,SAVING PRIVATE RYAN_1998,ARMY OFFICE IN LA CRITIQUED SCRIPT AND POINTED OUT TECHNICAL ERRORS INCLUDING REALITY THAT THE PENTAGON COULD NOT HAVE LEARNED TWO DAYS AFTER D-DAY THAT TWO RYAN BROTHERS HAD DIED ON D'DAY. ARMY HAD NO EQUIPMENT DATING FROM WORLD WAR II. SPIELBERG USED IRISH ARMY FOR LANDINGS AND SUBSEQUENT SCENES SHOT IN ENGLAND,Y
DEJA VU,,APPROVED,Assisted,1999,,,,,DEJA VU_1999,"APPROVED FILMING AT CAMP MINDEN, LA (ARMY NATIONAL GUARD SITE) FOR APPROXIMATELY 20 DAYS. VARIOUS VEHICLES WERE EMPLOYED THAT WERE NOT REASONABLY AVAILABLE FROM COMMERCIAL SOURCES. FILMING TOOK PLACE A VARIOUS LOCATIONS, INCLUDING A BAYONET ASSAULT COURSE. APPROXIMATELY 10 SOLDIERS OPERATED AND MAINTAINED THE EQUIPMENT AND THERE WERE ALSO A SMALL NUMBER OF OFF-DUTY SOLDIERS WHO PERFORMED AS BACKGROUND EXTRAS.",
